Company ID number,DMX_ISSUER_NAME,DMX_ISSUER_ID,Country of Classification
89,"SHANGHAI PUDONG DEVELOPMENT BANK CO., LTD.",IID000000002146650,CHINA
90,"The Bank of East Asia, Limited",IID000000002159119,HONG KONG
91,ANHUI GUJING DISTILLERY COMPANY LIMITED,IID000000002157468,CHINA
92,Anhui Kouzi Distillery Co Ltd,IID000000002735234,CHINA
93,"BEIJING SHUNXIN AGRICULTURE CO.,LTD",IID000000002159382,CHINA
94,"Beijing Yanjing Brewery Co., Ltd.",IID000000002150013,CHINA
95,China Resources Beer (Holdings) Company Limited,IID000000002141280,CHINA
96,Jiangsu King's Luck Brewery Joint-Stock Co Ltd,IID000000002703269,CHINA
97,"Jiangsu Yanghe Brewery Joint-stock Co., Ltd.",IID000000002569362,CHINA
98,"Kweichow Moutai Co., Ltd.",IID000000002173216,CHINA
99,"Luzhou Laojiao CO.,LTD",IID000000002174178,CHINA
100,"SHANXI XINGHUACUN FEN WINE FACTORY CO., LTD.",IID000000002134999,CHINA
101,"Sichuan Swellfun Co., Ltd.",IID000000002151673,CHINA
102,TIBET WATER RESOURCES LTD.,IID000000002622264,CHINA
103,Tsingtao Brewery Company Limited,IID000000002187534,CHINA
104,UNI-PRESIDENT CHINA HOLDINGS LTD.,IID000000002187929,CHINA
105,"Wuliangye Yibin Co., Ltd.",IID000000002189833,CHINA
106,Yantai Changyu Pioneer Wine Company Limited,IID000000002139654,CHINA
107,3SBIO INC.,IID000000002199174,CHINA
108,Ascletis Pharma Inc,IID000000002863600,CHINA
109,Beigene Ltd,IID000000002746567,HONG KONG
110,"Beijing SL Pharmaceutical Co., Ltd.",IID000000002148569,CHINA
111,Beijing Tiantan Biological Products Corporation Limited,IID000000002159383,CHINA
112,BGI Genomics Co Ltd,IID000000002812293,CHINA
113,Chongqing Zhifei Biological Products Co Ltd,IID000000002599383,CHINA
114,Essex Bio-Technology Ltd,IID000000002142634,CHINA
115,"HUALAN BIOLOGICAL ENGINEERING, INC.",IID000000002169675,CHINA
116,"JINYU BIO-TECHNOLOGY CO.,LTD.",IID000000002155025,CHINA
117,Shanghai Haohai Biological Technology Co Ltd,IID000000002729602,CHINA
118,"Shenzhen Kangtai Biological Products Co.,Ltd.",IID000000002796560,CHINA
119,"Walvax Biotechnology Co., Ltd.",IID000000002603059,CHINA
120,Zai Lab Ltd,IID000000002818050,CHINA
121,Beijing New Building Materials Public Limited Company,IID000000002159380,CHINA
122,"China Fangda Group Co., Ltd.",IID000000002125523,CHINA
123,"Zhejiang Weixing New Building Materials Co., Ltd.",IID000000002586252,CHINA
124,500.COM LIMITED,IID000000002679386,CHINA
125,Galaxy Entertainment Group Limited,IID000000002148737,HONG KONG
126,MACAU LEGEND DEVELOPMENT LIMITED,IID000000002670806,HONG KONG
127,MELCO INTERNATIONAL DEVELOPMENT LIMITED,IID000000002175299,HONG KONG
128,MELCO RESORTS & ENTERTAINMENT LIMITED,IID000000002201700,HONG KONG
129,MGM China Holdings Limited,IID000000002620106,HONG KONG
130,NAGACORP LTD.,IID000000002176664,HONG KONG
131,Sands China Ltd.,IID000000002571412,HONG KONG
132,SJM Holdings Limited,IID000000002355576,HONG KONG
133,"Wynn Macau, Limited",IID000000002453224,HONG KONG
134,"Beijing Originwater Technology Co., Ltd.",IID000000002588404,CHINA
135,CAPITAL ENVIRONMENT HOLDINGS LIMITED,IID000000002132905,CHINA
136,China Everbright International Limited,IID000000002161772,CHINA
137,Country Garden Services Holdings Co Ltd,IID000000002845051,CHINA
138,CT ENVIRONMENTAL GROUP LIMITED,IID000000002622828,CHINA
139,"DYNAGREEN ENVIRONMENTAL PROTECTION GROUP CO., LTD.",IID000000002669609,CHINA
140,Greentown Service Group Co Ltd,IID000000002752179,CHINA
141,Jihua Group Corporation Limited,IID000000002597558,CHINA
142,Shanghai M&G Stationery Inc,IID000000002720056,CHINA
143,"Suzhou Gold Mantis Construction Decoration Co., Ltd.",IID000000002185422,CHINA
144,Tianjin Capital Environmental Protection Group Company Limited,IID000000002186846,CHINA
145,"TUS ENVIRONMENTAL SCIENCE AND TECHNOLOGY DEVELOPMENT CO., LTD.",IID000000002131879,CHINA
146,"Beijing Sanju Environmental Protection & New Materials Co., Ltd.",IID000000002588542,CHINA
147,CHINA SANJIANG FINE CHEMICALS COMPANY LIMITED,IID000000002599386,CHINA
148,ELION ENERGY COMPANY LIMITED,IID000000002170665,CHINA
149,"HENGLI PETROCHEMICAL CO., LTD.",IID000000002163603,CHINA
150,"Hengyi Petrochemical Co., Ltd.",IID000000002161357,CHINA
151,"INNER MONGOLIA JUNZHENG ENERGY & CHEMICAL GROUP CO., LTD.",IID000000002609900,CHINA
152,"Lomon Billions Group Co., Ltd.",IID000000002623025,CHINA
153,"RONGSHENG PETROCHEMICAL CO., LTD.",IID000000002602232,CHINA
154,"SHANGHAI CHLOR-ALKALI CHEMICAL CO., LTD.",IID000000002135022,CHINA
155,Shanghai Huayi Group Corporation Limited,IID000000002164377,CHINA
156,"Sichuan Hebang Biotechnology Co., Ltd.",IID000000002649145,CHINA
157,Silver Grant International Holdings Group Limited,IID000000002140271,CHINA
158,Sinopec Shanghai Petrochemical Company Limited,IID000000002133087,CHINA
159,"Tangshan Sanyou Chemical Industries Co., Ltd",IID000000002133615,CHINA
160,"TONGKUN GROUP CO.,LTD",IID000000002617969,CHINA
161,"Xinjiang Zhongtai Chemical Co., Ltd.",IID000000002189945,CHINA
162,"Zhejiang Jiahua Energy Chemical Industry Co., Ltd.",IID000000002130140,CHINA
163,"Zhejiang Juhua Co., Ltd.",IID000000002130084,CHINA
164,BAOYE GROUP COMPANY LIMITED,IID000000002159197,CHINA
165,Beijing Urban Construction Design & Development Group Co Ltd,IID000000002704614,CHINA
166,China Aluminum International Engineering Corporation Limited,IID000000002648395,CHINA
167,China Communications Construction Company Limited,IID000000002161746,CHINA
168,China Communications Services Corporation Limited,IID000000002140686,CHINA
169,China Gezhouba Group Company Limited,IID000000002161789,CHINA
170,China Machinery Engineering Corporation,IID000000002657303,CHINA
171,"China National Chemical Engineering Co., Ltd",IID000000002573869,CHINA
172,China Railway Construction Corporation Limited,IID000000002161857,CHINA
173,China Railway Group Limited,IID000000002124163,CHINA
174,China Railway Hi-tech Industry Corporation Limited,IID000000002161858,CHINA
175,China State Construction Engineering Corporation Limited,IID000000002403401,CHINA
176,CHINA STATE CONSTRUCTION INTERNATIONAL HOLDINGS LIMITED,IID000000002161882,CHINA
177,"Hong Kong International Construction Investment Management Group Co., Limited",IID000000002187656,HONG KONG
178,Metallurgical Corporation of China Ltd.,IID000000002451683,CHINA
179,"Power Construction Corporation of China, Ltd.",IID000000002617784,CHINA
180,"Shanghai Construction Group Co., Ltd.",IID000000002146713,CHINA
181,"Shanghai Tunnel Engineering Co., Ltd.",IID000000002183363,CHINA
182,"SINOPEC ENGINEERING (GROUP) CO., LTD.",IID000000002667762,CHINA
183,China Shipbuilding Industry Company Limited,IID000000002572430,CHINA
184,CHINA YUCHAI INTERNATIONAL LIMITED,IID000000002161914,CHINA
185,CRRC Corporation Limited,IID000000002356416,CHINA
186,CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED,IID000000002168489,CHINA
187,FIRST TRACTOR COMPANY LIMITED,IID000000002166641,CHINA
188,"Inner Mongolia First Machinery Group Co., Ltd.",IID000000002135017,CHINA
189,Kama Co Ltd,IID000000002143409,CHINA
190,LONKING HOLDINGS LIMITED,IID000000002132891,CHINA
191,Sany Heavy Equipment International Holdings Company Ltd,IID000000002571137,CHINA
192,"SANY HEAVY INDUSTRY CO., LTD",IID000000002130092,CHINA
193,"SHANGHAI DIESEL ENGINE CO.,LTD.",IID000000002143232,CHINA
194,"SHANGHAI ZHENHUA HEAVY INDUSTRIES CO., LTD.",IID000000002183377,CHINA
195,Sinotruk (Hong Kong) Limited,IID000000002132893,CHINA
196,"Weichai Power Co., Ltd.",IID000000002189390,CHINA
197,"XCMG Construction Machinery Co., Ltd.",IID000000002189970,CHINA
198,"Zhengzhou Coal Mining Machinery Group Co., Ltd.",IID000000002595898,CHINA
199,"Zhengzhou Yutong Bus Co., Ltd.",IID000000002146677,CHINA
200,"Zoomlion Heavy Industry Science And Technology Co., Ltd",IID000000002150747,CHINA
201,ANHUI CONCH CEMENT COMPANY LIMITED,IID000000002140802,CHINA
202,ASIA CEMENT (CHINA) HOLDINGS CORPORATION,IID000000002199385,CHINA
203,BBMG Corporation,IID000000002398363,CHINA
204,"Beijing Oriental Yuhong Waterproof Technology Co., Ltd.",IID000000002359304,CHINA
205,"CHINA JUSHI CO., LTD",IID000000002130145,CHINA
206,China National Building Material Company Limited,IID000000002124595,CHINA
207,China National Materials Company Limited,IID000000002124681,CHINA
208,CHINA RESOURCES CEMENT HOLDINGS LIMITED,IID000000002252691,CHINA
209,"CSG Holding Co., Ltd.",IID000000002140056,CHINA
210,"Huaxin Cement Co., Ltd.",IID000000002134980,CHINA
211,"TANGSHAN JIDONG CEMENT CO.,LTD.",IID000000002186184,CHINA
212,WEST CHINA CEMENT LIMITED,IID000000002189436,CHINA
213,CHONG SING HOLDINGS FINTECH GROUP LIMITED,IID000000002604754,CHINA
214,SUN HUNG KAI & CO. LIMITED,IID000000002148792,HONG KONG
215,Yirendai Ltd,IID000000002750618,CHINA
216,CPMC Holdings Limited,IID000000002570526,CHINA
217,Greatview Aseptic Packaging Co Ltd,IID000000002605646,CHINA
218,MING LAM HOLDINGS LIMITED,IID000000002183889,CHINA
219,"ORG Technology Co., Ltd.",IID000000002652124,CHINA
220,YOUYUAN INTERNATIONAL HOLDINGS LIMITED,IID000000002591998,CHINA
221,Yunnan Energy New Material Co Ltd,IID000000002772310,CHINA
222,"Chengzhi Shareholding Co., Ltd.",IID000000002148551,CHINA
223,FUFENG GROUP LIMITED,IID000000002149119,CHINA
224,"Ningxia Baofeng Energy Group Co., Ltd.",IID000000002617058,CHINA
225,Sinochem International Corporation,IID000000002134483,CHINA
226,CHINA EDUCATION GROUP HOLDINGS LIMITED,IID000000002817649,CHINA
227,China Maple Leaf Educational Systems Ltd,IID000000002715990,CHINA
228,CHINA NEW HIGHER EDUCATION GROUP LIMITED,IID000000002773960,CHINA
229,CHINA YUHUA EDUCATION CORPORATION LIMITED,IID000000002773723,CHINA
230,Fu Shou Yuan International Group Ltd,IID000000002682778,CHINA
231,Hope Education Group Co Ltd,IID000000002864156,CHINA
232,NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP INC.,IID000000002201869,CHINA
233,RISE EDUCATION CAYMAN LTD,IID000000002818788,CHINA
234,TAL EDUCATION GROUP,IID000000002602537,CHINA
235,Tarena International Inc,IID000000002688043,CHINA
236,Wisdom Education International Holdings Company Ltd,IID000000002771774,CHINA
237,AGM Group Holdings Inc,IID000000002818468,CHINA
238,"AVIC Capital Co., Ltd.",IID000000002143242,CHINA
239,"China Development Bank Financial Leasing Co., Ltd.",IID000000002635251,CHINA
240,Dingyi Group Investment Limited,IID000000002161677,HONG KONG
241,"East Money Information Co., Ltd.",IID000000002586318,CHINA
242,Far East Horizon Limited,IID000000002586460,CHINA
243,FIRST PACIFIC COMPANY LIMITED,IID000000002166616,HONG KONG
244,"Hithink RoyalFlush Information Network Co., Ltd.",IID000000002573115,CHINA
245,Hong Kong Exchanges and Clearing Limited,IID000000002124786,HONG KONG
246,"SHANGHAI AJ GROUP CO., LTD",IID000000002143166,CHINA
247,Sheng Ye Capital Ltd,IID000000002812213,CHINA
248,"CHINA HIGH SPEED TRANSMISSION EQUIPMENT GROUP CO., LTD.",IID000000002140670,CHINA
249,"CHINA XD ELECTRIC CO., LTD",IID000000002452905,CHINA
250,Contemporary Amperex Technology Co Ltd,IID000000002841129,CHINA
251,Dongfang Electric Corporation Limited,IID000000002124384,CHINA
252,"EVE Energy Co., Ltd.",IID000000002453495,CHINA
253,"Fangda Carbon New Material Co., Ltd.",IID000000002151651,CHINA
254,"FOSHAN ELECTRICAL AND LIGHTING CO., LTD",IID000000002166893,CHINA
255,FULLSHARE HOLDINGS LIMITED,IID000000002189275,CHINA
256,"Guoxuan High-tech Co., Ltd.",IID000000002171887,CHINA
257,"HANGZHOU STEAM TURBINE CO.,LTD",IID000000002168909,CHINA
258,Harbin Electric Company Limited,IID000000002168967,CHINA
259,"Hongfa Technology Co., Ltd.",IID000000002189825,CHINA
260,"Jiangsu Zhongtian Technology Co., Ltd.",IID000000002126626,CHINA
261,JOHNSON ELECTRIC HOLDINGS LIMITED,IID000000002140284,HONG KONG
262,"NARI Technology Co., Ltd.",IID000000002125293,CHINA
263,Shanghai Electric Group Company Limited,IID000000002124501,CHINA
264,"TBEA CO., LTD.",IID000000002185672,CHINA
265,VPOWER GROUP INTERNATIONAL HOLDINGS LIMITED,IID000000002773092,HONG KONG
266,"XINJIANG GOLDWIND SCIENCE & TECHNOLOGY CO.,LTD",IID000000002189936,CHINA
267,"ZHEJIANG CHINT ELECTRICS CO., LTD",IID000000002574529,CHINA
268,"Zhuzhou CRRC Times Electric Co., Ltd.",IID000000002190462,CHINA
269,AAC TECHNOLOGIES HOLDINGS INC.,IID000000002155418,CHINA
270,AVIC International Holdings Limited,IID000000002148756,CHINA
271,"AVIC Jonhon Optronic Technology Co., Ltd.",IID000000002161727,CHINA
272,"BOE Technology Group Co., Ltd.",IID000000002158773,CHINA
273,CAMSING INTERNATIONAL HOLDING LIMITED,IID000000002166674,CHINA
274,Chaozhou Three-circle Group Co Ltd,IID000000002715557,CHINA
275,CHINA AEROSPACE INTERNATIONAL HOLDINGS LIMITED,IID000000002161714,CHINA
276,China Railway Signal & Communication Corporation Limited,IID000000002706608,CHINA
277,FIH MOBILE LIMITED,IID000000002132729,HONG KONG
278,Foxconn Industrial Internet Co Ltd,IID000000002840660,CHINA
279,Goertek Inc.,IID000000002200869,CHINA
280,"HANGZHOU HIKVISION DIGITAL TECHNOLOGY CO., LTD",IID000000002591548,CHINA
281,"Holitech Technology Co., Ltd.",IID000000002183303,CHINA
282,KINGBOARD HOLDINGS LIMITED,IID000000002172747,CHINA
283,KINGBOARD LAMINATES HOLDINGS LIMITED,IID000000002172749,CHINA
284,"Lens Technology Co. , Ltd",IID000000002726113,CHINA
285,"Leyard Optoelectronic Co., Ltd.",IID000000002639736,CHINA
286,Lingyi iTech Guangdong Co,IID000000002623039,CHINA
287,"Luxshare Precision Industry Co., Ltd.",IID000000002598727,CHINA
288,"NAURA Technology Group Co., Ltd.",IID000000002386701,CHINA
289,"OFILM Group Co., Ltd.",IID000000002596120,CHINA
290,PAX GLOBAL TECHNOLOGY LIMITED,IID000000002606487,CHINA
291,"Shengyi Technology Co., Ltd.",IID000000002125921,CHINA
292,"Shennan Circuits Co., Ltd.",IID000000002629119,CHINA
293,SUNNY OPTICAL TECHNOLOGY (GROUP) COMPANY LIMITED,IID000000002140988,CHINA
294,"Suzhou Dongshan Precision Manufacturing Co., Ltd",IID000000002587607,CHINA
295,"Tianma Microelectronics Co., Ltd.",IID000000002183472,CHINA
296,TONGDA GROUP HOLDINGS LIMITED,IID000000002132460,CHINA
297,TRULY INTERNATIONAL HOLDINGS LIMITED,IID000000002187505,CHINA
298,"Tunghsu Optoelectronic Technology Co.,Ltd.",IID000000002131931,CHINA
299,"Unigroup Guoxin Microelectronics Co., Ltd.",IID000000002186185,CHINA
300,Unisplendour Corporation Limited,IID000000002187533,CHINA
301,VSTECS HOLDINGS LIMITED,IID000000002132599,HONG KONG
302,WASION HOLDINGS LIMITED,IID000000002189308,CHINA
303,Wuxi Lead Intelligent Equipment Co Ltd,IID000000002731568,CHINA
304,"ZHEJIANG DAHUA TECHNOLOGY CO., LTD.",IID000000002203466,CHINA
305,ANTON OILFIELD SERVICES GROUP,IID000000002157541,CHINA
306,China Oilfield Services Limited,IID000000002124563,CHINA
307,China Petroleum Engineering Corporation,IID000000002189935,CHINA
308,HONGHUA GROUP LIMITED,IID000000002196552,CHINA
309,"OFFSHORE OIL ENGINEERING CO.,LTD.",IID000000002151692,CHINA
310,Sinopec Oilfield Service Corporation,IID000000002125077,CHINA
311,Wison Engineering Services Co Ltd,IID000000002657602,CHINA
312,"Yantai Jereh Oilfield Services Group Co., Ltd.",IID000000002575391,CHINA
313,"ANGEL YEAST CO., LTD",IID000000002146666,CHINA
314,AUSNUTRIA DAIRY CORPORATION LTD,IID000000002453229,HONG KONG
315,"Beijing Dabeinong Technology Group Co., Ltd.",IID000000002587602,CHINA
316,China Agri-Industries Holdings Limited,IID000000002161716,CHINA
317,CHINA FOODS LIMITED,IID000000002124808,CHINA
318,CHINA MENGNIU DAIRY COMPANY LIMITED,IID000000002140920,CHINA
319,CHINA MODERN DAIRY HOLDINGS LTD.,IID000000002604564,CHINA
320,Chongqing Fuling Zhacai Group Co Ltd,IID000000002604376,CHINA
321,COFCO Meat Holdings Ltd,IID000000002770379,CHINA
322,"Cofco Tunhe Sugar Co., Ltd",IID000000002151671,CHINA
323,Dali Foods Group Co Ltd,IID000000002748008,CHINA
324,Foshan Haitian Flavouring and Food Co Ltd,IID000000002684903,CHINA
325,"Fujian Sunner Development Co., Ltd.",IID000000002453041,CHINA
326,"Guangdong Haid Group Co., Limited",IID000000002570919,CHINA
327,HEALTH AND HAPPINESS (H&H) INTERNATIONAL HOLDINGS LIMITED,IID000000002606161,HONG KONG
328,Heilongjiang Agriculture Company Limited,IID000000002169147,CHINA
329,"Henan Shuanghui Investment & Development Co., Ltd.",IID000000002169200,CHINA
330,"Inner Mongolia Yili Industrial Group Co., Ltd.",IID000000002134988,CHINA
331,Jiangxi Zhengbang Technology Co. Ltd.,IID000000002140123,CHINA
332,"JONJEE HI-TECH INDUSTRIAL AND COMMERCIAL HOLDING CO.,LTD",IID000000002172000,CHINA
333,"Muyuan Foods Co.,Ltd",IID000000002684685,CHINA
334,"New Hope Liuhe Co., Ltd.",IID000000002148515,CHINA
335,Nissin Foods Co Ltd,IID000000002823741,HONG KONG
336,"Tech-bank Food Co.,Ltd.",IID000000002177380,CHINA
337,TINGYI (CAYMAN ISLANDS) HOLDING CORP.,IID000000002137182,CHINA
338,"Toly Bread Co., Ltd.",IID000000002736511,CHINA
339,"TONGWEI CO.,LTD",IID000000002187044,CHINA
340,Vitasoy International Holdings Ltd,IID000000002189013,HONG KONG
341,WANT WANT CHINA HOLDINGS LIMITED,IID000000002196946,CHINA
342,"WENS FOODSTUFF GROUP CO., LTD.",IID000000002571225,CHINA
343,WH GROUP LIMITED,IID000000002671984,HONG KONG
344,Yashili International Holdings Ltd,IID000000002602856,CHINA
345,Yihai International Holding Ltd,IID000000002762783,CHINA
346,"Yuan Longping High-tech Agriculture Co., Ltd.",IID000000002131923,CHINA
347,AK Medical Holdings Ltd,IID000000002763366,CHINA
348,ALIBABA HEALTH INFORMATION TECHNOLOGY LIMITED,IID000000002160570,CHINA
349,"China Reform Health Management and Services Group Co., Ltd.",IID000000002148577,CHINA
350,Genscript Biotech Corp,IID000000002750477,CHINA
351,"Hangzhou Tigermed Consulting Co., Ltd",IID000000002650128,CHINA
352,Jafron Biomedical Co Ltd,IID000000002770486,CHINA
353,"JIANGSU YUYUE MEDICAL EQUIPMENT & SUPPLY CO., LTD.",IID000000002196596,CHINA
354,"Lepu Medical Technology (Beijing) Co., Ltd.",IID000000002453035,CHINA
355,LifeTech Scientific Corp,IID000000002631228,CHINA
356,MICROPORT SCIENTIFIC CORPORATION,IID000000002600152,HONG KONG
357,Ping An Healthcare and Technology Co Ltd,IID000000002839569,CHINA
358,Shandong Weigao Group Medical Polymer Company Limited,IID000000002183315,CHINA
359,Shenzhen Mindray Bio-Medical Electronics Co Ltd,IID000000002921390,CHINA
360,Winning Health Technology Group Co Ltd,IID000000002625006,CHINA
361,"WuXi AppTec Co., Ltd.",IID000000002839138,CHINA
362,Wuxi Biologics Cayman Inc,IID000000002807983,CHINA
363,"Aier Eye Hospital Group Co., Ltd.",IID000000002453496,CHINA
364,China Medical & HealthCare Group Limited,IID000000002160638,CHINA
365,"China Meheco Group Co., Ltd.",IID000000002160628,CHINA
366,China National Accord Medicines Corporation Ltd.,IID000000002148546,CHINA
367,China National Medicines Corporation Ltd.,IID000000002143123,CHINA
368,CHINA RESOURCES MEDICAL HOLDINGS COMPANY LIMITED,IID000000002680987,CHINA
369,C-Mer Eye Care Holdings Ltd,IID000000002815120,HONG KONG
370,Genertec Universal Medical Group Company Limited,IID000000002685289,CHINA
371,GOLDEN MEDITECH HOLDINGS LIMITED,IID000000002134790,CHINA
372,"HUADONG MEDICINE CO .,LTD",IID000000002169670,CHINA
373,"Jointown Pharmaceutical Group Co., Ltd.",IID000000002602582,CHINA
374,"Meinian Onehealth Healthcare Holdings Co., Ltd.",IID000000002171903,CHINA
375,"Realcan Pharmaceutical Group Co., Ltd.",IID000000002620186,CHINA
376,"Shanghai Pharmaceuticals Holding Co., Ltd.",IID000000002151735,CHINA
377,SINOPHARM GROUP CO. LTD.,IID000000002452605,CHINA
378,Beijing Sports and Entertainment Industry Group Ltd,IID000000002635363,CHINA
379,"BTG Hotels (Group) Co., Ltd.",IID000000002130096,CHINA
380,China International Travel Service Corporation Limited,IID000000002452752,CHINA
381,CHINA TRAVEL INTERNATIONAL INVESTMENT HONG KONG LIMITED,IID000000002161896,CHINA
382,Haichang Ocean Park Holdings Ltd,IID000000002687906,CHINA
383,"Huangshan Tourism Development Co., Ltd.",IID000000002169679,CHINA
384,HUAZHU GROUP LIMITED,IID000000002587948,CHINA
